sample_id,project,pr_or_cve,category,oracle_type,year,source,test_source,primary_diff_file,github_repo,reference_url,trigger_mode
emp3r0r-CVE-2026-26201,emp3r0r,CVE-2026-26201,data_race,RACE,2026,cve,synthesized,core/internal/agent/handler/c2cmd_runners.go,jm33-m0/emp3r0r,https://github.com/advisories/GHSA-f5p9-j34q-pwcc,replicated
etcd-10772,etcd,10772,data_race,RACE,2019,pr,synthesized,mvcc/index.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/10772,replicated
etcd-10826,etcd,10826,data_race,RACE,2019,pr,synthesized,etcdserver/api/rafthttp/transport.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/10826,replicated
etcd-11706,etcd,11706,data_race,RACE,2020,pr,synthesized,clientv3/ctx.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/11706,replicated
etcd-11982,etcd,11982,data_race,RACE,2020,pr,synthesized,etcdserver/api/v2store/stats.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/11982,replicated
etcd-1316,etcd,1316,data_race,RACE,2014,pr,synthesized,etcdserver/stats/leader.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/1316,in_place
etcd-1317,etcd,1317,data_race,RACE,2014,pr,synthesized,etcdserver/stats/leader.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/1317,replicated
etcd-13203,etcd,13203,data_race,RACE,2021,pr,synthesized,client/v3/client.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/13203,in_place
etcd-15509,etcd,15509,anonymous_function,RACE,2023,pr,synthesized,server/embed/serve.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/15509,replicated
etcd-19600,etcd,19600,data_race,RACE,2025,pr,PR_bundled,server/storage/mvcc/watchable_store.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/19600,replicated
etcd-20192,etcd,20192,data_race,RACE,2025,pr,synthesized,client/v3/client.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/20192,replicated
etcd-20656,etcd,20656,data_race,RACE,2026,pr,synthesized,tests/robustness/client/client.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/20656,replicated
etcd-2968,etcd,2968,order_violation,RACE,2015,pr,synthesized,rafthttp/peer.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/2968,replicated
etcd-3077,etcd,3077,order_violation,RACE,2015,pr,synthesized,etcdserver/raft.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/3077,replicated
etcd-4876,etcd,4876,data_race,RACE,2016,pr,synthesized,clientv3/client.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/4876,replicated
etcd-4958,etcd,4958,data_race,RACE,2016,pr,synthesized,etcdserver/api/v3rpc/watch.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/4958,replicated
etcd-4997,etcd,4997,data_race,RACE,2016,pr,synthesized,etcdserver/consistent_index.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/4997,in_place
etcd-503,etcd,503,channel_misuse,RACE,2014,pr,synthesized,mod/lock/v2/acquire_handler.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/503,in_place
etcd-5157,etcd,5157,data_race,RACE,2016,pr,synthesized,etcdserver/stats/server.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/5157,replicated
etcd-5165,etcd,5165,data_race,RACE,2016,pr,synthesized,raft/node.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/5165,replicated
etcd-5505,etcd,5505,channel_misuse,RACE,2016,pr,synthesized,etcdserver/api/v3rpc/watch.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/5505,replicated
etcd-5739,etcd,5739,data_race,RACE,2016,pr,synthesized,etcdserver/apply_auth.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/5739,replicated
etcd-5897,etcd,5897,data_race,RACE,2016,pr,synthesized,etcdserver/api/v3rpc/watch.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/5897,replicated
etcd-6197,etcd,6197,data_race,RACE,2016,pr,synthesized,integration/cluster_proxy.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6197,in_place
etcd-6248,etcd,6248,data_race,RACE,2016,pr,synthesized,mvcc/kvstore.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6248,replicated
etcd-6279,etcd,6279,data_race,RACE,2016,pr,synthesized,mvcc/kvstore.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6279,replicated
etcd-6324,etcd,6324,data_race,RACE,2016,pr,synthesized,proxy/grpcproxy/watch.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6324,replicated
etcd-6587,etcd,6587,data_race,RACE,2016,pr,synthesized,clientv3/watch.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6587,replicated
etcd-6596,etcd,6596,data_race,RACE,2016,pr,synthesized,lease/lessor.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6596,replicated
etcd-6628,etcd,6628,order_violation,RACE,2016,pr,synthesized,etcdserver/server.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6628,replicated
etcd-6704,etcd,6704,data_race,RACE,2016,pr,synthesized,proxy/grpcproxy/watcher_group.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6704,replicated
etcd-6906,etcd,6906,data_race,RACE,2016,pr,synthesized,proxy/grpcproxy/watch_broadcasts.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6906,in_place
etcd-6916,etcd,6916,data_race,RACE,2016,pr,synthesized,proxy/grpcproxy/watch_broadcasts.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6916,replicated
etcd-6947,etcd,6947,data_race,RACE,2016,pr,synthesized,proxy/grpcproxy/cache/store.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/6947,replicated
etcd-7070,etcd,7070,data_race,RACE,2016,pr,synthesized,lease/lessor.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/7070,replicated
etcd-7361,etcd,7361,anonymous_function,RACE,2017,pr,synthesized,proxy/tcpproxy/userspace.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/7361,in_place
etcd-7664,etcd,7664,data_race,RACE,2017,pr,synthesized,auth/store.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/7664,replicated
etcd-9061,etcd,9061,data_race,RACE,2017,pr,synthesized,clientv3/leasing/kv.go,etcd-io/etcd,https://github.com/etcd-io/etcd/pull/9061,replicated
go-ethereum-14940,go-ethereum,14940,data_race,RACE,2017,pr,synthesized,core/tx_pool.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/14940,in_place
go-ethereum-1503,go-ethereum,1503,data_race,RACE,2015,pr,synthesized,accounts/account_manager.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/1503,replicated
go-ethereum-16146,go-ethereum,16146,data_race,RACE,2018,pr,synthesized,whisper/whisperv6/peer.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/16146,replicated
go-ethereum-17173,go-ethereum,17173,data_race,RACE,2018,pr,synthesized,miner/worker.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/17173,replicated
go-ethereum-18523,go-ethereum,18523,data_race,RACE,2019,pr,synthesized,swarm/pss/pss.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/18523,in_place
go-ethereum-19162,go-ethereum,19162,data_race,RACE,2019,pr,synthesized,swarm/pss/handshake.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/19162,in_place
go-ethereum-20204,go-ethereum,20204,anonymous_function,RACE,2019,pr,synthesized,eth/downloader/downloader.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/20204,replicated
go-ethereum-20421,go-ethereum,20421,data_race,RACE,2019,pr,synthesized,p2p/enode/iter.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/20421,in_place
go-ethereum-21201,go-ethereum,21201,data_race,RACE,2020,pr,synthesized,eth/downloader/downloader.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/21201,in_place
go-ethereum-23434,go-ethereum,23434,data_race,RACE,2021,pr,synthesized,p2p/dial.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/23434,replicated
go-ethereum-23435,go-ethereum,23435,data_race,RACE,2021,pr,synthesized,miner/worker.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/23435,replicated
go-ethereum-24685,go-ethereum,24685,data_race,RACE,2022,pr,synthesized,core/state/snapshot/difflayer.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/24685,in_place
go-ethereum-31641,go-ethereum,31641,data_race,RACE,2025,pr,synthesized,core/txpool/legacypool/legacypool.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/31641,in_place
go-ethereum-31758,go-ethereum,31758,data_race,RACE,2025,pr,synthesized,core/txpool/legacypool/legacypool.go,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum/pull/31758,in_place
gofiber-3985,gofiber,3985,data_race,RACE,2026,pr,synthesized,middleware/cache/cache.go,gofiber/fiber,https://github.com/gofiber/fiber/pull/3985,replicated
gofiber-4062,gofiber,4062,data_race,RACE,2026,pr,synthesized,ctx.go,gofiber/fiber,https://github.com/gofiber/fiber/pull/4062,in_place
golang-go-CVE-2020-15586,golang-go,CVE-2020-15586,data_race,RACE,2022,cve,synthesized,src/net/http/server.go,golang/go,https://github.com/advisories/GHSA-9rmg-8r3f-xrq7,replicated
golang-go-CVE-2021-36221,golang-go,CVE-2021-36221,data_race,RACE,2022,cve,synthesized,src/net/http/httputil/reverseproxy.go,golang/go,https://github.com/advisories/GHSA-6qcx-qr4g-4fx9,replicated
gopsutil-951,gopsutil,951,data_race,RACE,2020,pr,synthesized,internal/common/common_linux.go,shirou/gopsutil,https://github.com/shirou/gopsutil/pull/951,replicated
grpc-go-1115,grpc-go,1115,channel_misuse,RACE,2017,pr,synthesized,transport/handler_server.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/1115,in_place
grpc-go-1666,grpc-go,1666,data_race,RACE,2017,pr,synthesized,balancer_conn_wrappers.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/1666,in_place
grpc-go-1687,grpc-go,1687,channel_misuse,RACE,2017,pr,PR_bundled,transport/handler_server.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/1687,in_place
grpc-go-1688,grpc-go,1688,data_race,RACE,2017,pr,synthesized,balancer_conn_wrappers.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/1688,in_place
grpc-go-1897,grpc-go,1897,data_race,RACE,2018,pr,PR_bundled,clientconn.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/1897,in_place
grpc-go-1948,grpc-go,1948,data_race,RACE,2018,pr,synthesized,call.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/1948,in_place
grpc-go-2074,grpc-go,2074,data_race,RACE,2018,pr,synthesized,transport/http2_server.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/2074,in_place
grpc-go-2411,grpc-go,2411,data_race,RACE,2018,pr,synthesized,internal/channelz/funcs.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/2411,in_place
grpc-go-2695,grpc-go,2695,channel_misuse,RACE|PANIC,2019,pr,synthesized,internal/transport/handler_server.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/2695,in_place
grpc-go-2953,grpc-go,2953,data_race,RACE,2019,pr,synthesized,internal/transport/flowcontrol.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/2953,in_place
grpc-go-3062,grpc-go,3062,data_race,RACE,2019,pr,synthesized,internal/transport/transport.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/3062,replicated
grpc-go-3090,grpc-go,3090,data_race,RACE,2019,pr,synthesized,resolver_conn_wrapper.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/3090,in_place
grpc-go-3373,grpc-go,3373,order_violation,RACE,2020,pr,synthesized,internal/grpctest/tlogger.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/3373,in_place
grpc-go-3763,grpc-go,3763,data_race,RACE,2020,pr,synthesized,interop/xds/client/client.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/3763,replicated
grpc-go-4641,grpc-go,4641,data_race,RACE,2021,pr,synthesized,internal/transport/http2_client.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/4641,replicated
grpc-go-5927,grpc-go,5927,data_race,RACE,2023,pr,synthesized,xds/internal/xdsclient/clientimpl_loadreport.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/5927,in_place
grpc-go-6587,grpc-go,6587,data_race,RACE,2023,pr,synthesized,balancer/leastrequest/leastrequest.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/6587,in_place
grpc-go-7128,grpc-go,7128,data_race,RACE,2024,pr,synthesized,credentials/tls/certprovider/store.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/7128,replicated
grpc-go-8202,grpc-go,8202,data_race,RACE,2025,pr,synthesized,internal/resolver/delegatingresolver/delegatingresolver.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/8202,in_place
grpc-go-8519,grpc-go,8519,data_race,RACE,2025,pr,PR_bundled,internal/transport/handler_server.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/8519,in_place
grpc-go-8540,grpc-go,8540,data_race,RACE,2025,pr,synthesized,xds/internal/xdsclient/clientimpl_loadreport.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/8540,replicated
grpc-go-8541,grpc-go,8541,data_race,RACE,2025,pr,synthesized,xds/internal/xdsclient/clientimpl_loadreport.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/8541,replicated
grpc-go-8605,grpc-go,8605,data_race,RACE,2025,pr,synthesized,internal/xds/clients/xdsclient/ads_stream.go,grpc/grpc-go,https://github.com/grpc/grpc-go/pull/8605,replicated
hugo-12413,hugo,12413,data_race,RACE,2024,pr,PR_bundled,markup/goldmark/hugocontext/hugocontext.go,gohugoio/hugo,https://github.com/gohugoio/hugo/pull/12413,in_place
hugo-14446,hugo,14446,order_violation,RACE,2026,pr,synthesized,config/commonConfig.go,gohugoio/hugo,https://github.com/gohugoio/hugo/pull/14446,in_place
hugo-6410,hugo,6410,data_race,RACE,2019,pr,synthesized,helpers/general.go,gohugoio/hugo,https://github.com/gohugoio/hugo/pull/6410,in_place
hugo-7393,hugo,7393,data_race,RACE,2020,pr,synthesized,hugolib/content_map_page.go,gohugoio/hugo,https://github.com/gohugoio/hugo/pull/7393,in_place
istio-54477,istio,54477,data_race,RACE,2024,pr,synthesized,pilot/pkg/bootstrap/ads.go,istio/istio,https://github.com/istio/istio/pull/54477,replicated
istio-57593,istio,57593,data_race,RACE,2025,pr,synthesized,pilot/pkg/model/gateway.go,istio/istio,https://github.com/istio/istio/pull/57593,in_place
istio-59061,istio,59061,data_race,RACE,2026,pr,synthesized,pkg/kube/multicluster/cluster.go,istio/istio,https://github.com/istio/istio/pull/59061,in_place
istio-8144,istio,8144,order_violation,RACE,2018,pr,synthesized,pkg/cache/ttlCache.go,istio/istio,https://github.com/istio/istio/pull/8144,replicated
istio-8214,istio,8214,data_race,RACE,2018,pr,synthesized,pkg/cache/lruCache.go,istio/istio,https://github.com/istio/istio/pull/8214,replicated
istio-8967,istio,8967,order_violation,RACE,2018,pr,synthesized,galley/pkg/fs/fssource.go,istio/istio,https://github.com/istio/istio/pull/8967,replicated
kubernetes-100638,kubernetes,100638,data_race,PANIC,2021,pr,synthesized,queueset.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/100638,in_place
kubernetes-102090,kubernetes,102090,data_race,RACE,2021,pr,synthesized,staging/src/k8s.io/client-go/testing/fake.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/102090,in_place
kubernetes-103487,kubernetes,103487,data_race,RACE,2021,pr,synthesized,fixture.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/103487,replicated
kubernetes-104604,kubernetes,104604,data_race,RACE,2021,pr,synthesized,pkg/kubelet/util/manager/watch_based_manager.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/104604,replicated
kubernetes-105734,kubernetes,105734,data_race,RACE,2021,pr,synthesized,httplog.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/105734,replicated
kubernetes-106045,kubernetes,106045,data_race,RACE,2021,pr,synthesized,audit.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/106045,replicated
kubernetes-106551,kubernetes,106551,data_race,RACE,2022,pr,synthesized,pkg/kubelet/config/config.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/106551,in_place
kubernetes-107452,kubernetes,107452,data_race,RACE,2022,pr,synthesized,staging/src/k8s.io/apiserver/pkg/server/filters/timeout.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/107452,replicated
kubernetes-107748,kubernetes,107748,data_race,RACE,2022,pr,synthesized,pkg/proxy/ipvs/graceful_termination.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/107748,in_place
kubernetes-109114,kubernetes,109114,data_race,RACE,2022,pr,synthesized,staging/src/k8s.io/client-go/rest/with_retry.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/109114,replicated
kubernetes-109849,kubernetes,109849,data_race,RACE,2022,pr,synthesized,pkg/kubelet/cm/devicemanager/plugin/v1beta1/handler.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/109849,replicated
kubernetes-109969,kubernetes,109969,data_race,RACE,2022,pr,synthesized,staging/src/k8s.io/apiserver/pkg/authentication/group/authenticated_group_adder.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/109969,in_place
kubernetes-114236,kubernetes,114236,data_race,RACE,2023,pr,synthesized,staging/src/k8s.io/client-go/tools/events/event_broadcaster.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/114236,replicated
kubernetes-117249,kubernetes,117249,data_race,RACE,2023,pr,synthesized,pkg/controller/endpointslice/topologycache/topologycache.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/117249,in_place
kubernetes-117870,kubernetes,117870,data_race,RACE,2023,pr,synthesized,shared_informer.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/117870,replicated
kubernetes-118189,kubernetes,118189,data_race,RACE,2023,pr,synthesized,topologycache.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/118189,in_place
kubernetes-118745,kubernetes,118745,data_race,RACE,2023,pr,synthesized,pkg/controller/controller_utils.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/118745,replicated
kubernetes-119729,kubernetes,119729,data_race,RACE,2023,pr,synthesized,pkg/scheduler/schedule_one.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/119729,replicated
kubernetes-121771,kubernetes,121771,data_race,RACE,2023,pr,synthesized,staging/src/k8s.io/apimachinery/pkg/runtime/helper.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/121771,replicated
kubernetes-123396,kubernetes,123396,data_race,RACE,2024,pr,synthesized,pathrecorder.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/123396,replicated
kubernetes-124344,kubernetes,124344,data_race,RACE,2024,pr,synthesized,staging/src/k8s.io/client-go/tools/cache/delta_fifo.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/124344,replicated
kubernetes-128495,kubernetes,128495,data_race,RACE,2024,pr,PR_bundled,pkg/volume/plugins.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/128495,replicated
kubernetes-128657,kubernetes,128657,data_race,RACE,2024,pr,synthesized,container_map.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/128657,replicated
kubernetes-129170,kubernetes,129170,data_race,RACE,2024,pr,synthesized,staging/src/k8s.io/apimachinery/pkg/runtime/serializer/cbor/internal/modes/custom.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/129170,in_place
kubernetes-130741,kubernetes,130741,data_race,RACE,2025,pr,synthesized,staging/src/k8s.io/apiserver/pkg/server/filters/priority-and-fairness.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/130741,replicated
kubernetes-131251,kubernetes,131251,data_race,RACE,2025,pr,synthesized,pkg/kubelet/images/image_gc_manager.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/131251,replicated
kubernetes-132049,kubernetes,132049,data_race,RACE,2025,pr,synthesized,staging/src/k8s.io/apiserver/pkg/endpoints/handlers/patch.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/132049,replicated
kubernetes-132061,kubernetes,132061,data_race,RACE,2025,pr,synthesized,staging/src/k8s.io/apiserver/pkg/cel/common/typeprovider.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/132061,in_place
kubernetes-132063,kubernetes,132063,data_race,RACE,2025,pr,synthesized,staging/src/k8s.io/component-base/metrics/counter.go,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/pull/132063,in_place
